Accession,Description
BDA39817.1,hypothetical protein CPARK_000065700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39816.1,hypothetical protein CPARK_000065600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39815.1,D-inositol-3-phosphate glycosyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39814.1,ribosomal RNA large subunit methyltransferase K/L [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39813.1,DNA polymerase III subunit alpha [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39812.1,D-alanine--D-alanine ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39811.1,hypothetical protein CPARK_000065100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39810.1,putative MFS-type transporter YfcJ [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39809.1,glucosamine-6-phosphate deaminase 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39808.1,outer membrane protein assembly factor BamA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39807.1,UDP-3-O-acyl-N-acetylglucosamine deacetylase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39806.1,glucose-6-phosphate isomerase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39805.1,aerobic cobaltochelatase subunit CobN [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39804.1,ferredoxin-dependent glutamate synthase 2 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39803.1,ribonuclease 3 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39802.1,glutamine--fructose-6-phosphate aminotransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39801.1,Cob(I)yrinic acid a
BDA39800.1,50S ribosomal protein L19 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39799.1,hypothetical protein CPARK_000063900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39798.1,putative iron export permease protein FetB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39797.1,beta-barrel assembly-enhancing protease [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39796.1,glutathione import ATP-binding protein GsiA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39795.1,D-inositol-3-phosphate glycosyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39794.1,hypothetical protein CPARK_000063400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39793.1,glycerol-3-phosphate acyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39792.1,polyphosphate kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39791.1,hypothetical protein CPARK_000063100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39790.1,photosystem I assembly protein Ycf4 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39789.1,glutathione amide reductase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39788.1,septum site-determining protein MinC [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39787.1,septum site-determining protein MinD [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39786.1,cell division topological specificity factor [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39785.1,glutathione import ATP-binding protein GsiA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39784.1,hypothetical protein CPARK_000062400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39783.1,hypothetical protein CPARK_000062300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39782.1,recombination protein RecR [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39781.1,NAD(P)H-quinone oxidoreductase subunit N [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39780.1,arginine decarboxylase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39779.1,hypothetical protein CPARK_000061900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39778.1,dihydroneopterin aldolase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39777.1,hypothetical protein CPARK_000061700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39776.1,uroporphyrinogen decarboxylase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39775.1,hypothetical protein CPARK_000061500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39774.1,hypothetical protein CPARK_000061400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39773.1,ATP-dependent zinc metalloprotease FtsH 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39772.1,DNA gyrase subunit A [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39771.1,UDP-N-acetylmuramoylalanine--D-glutamate ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39770.1,hypothetical protein CPARK_000061000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39769.1,hypothetical protein CPARK_000060900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39768.1,hypothetical protein CPARK_000060800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39767.1,hypothetical protein CPARK_000060700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39766.1,hypothetical protein CPARK_000060600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39765.1,hypothetical protein CPARK_000060500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39764.1,hypothetical protein CPARK_000060400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39763.1,hypothetical protein CPARK_000060300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39762.1,anhydro-N-acetylmuramic acid kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39761.1,N-acetyldiaminopimelate deacetylase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39760.1,30S ribosomal protein S4 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39759.1,cobalamin biosynthesis protein CobIJ [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39758.1,ribosomal RNA small subunit methyltransferase B [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39757.1,hypothetical protein CPARK_000059700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39756.1,30S ribosomal protein S1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39755.1,diaminopimelate decarboxylase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39754.1,cyclic di-AMP synthase CdaA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39753.1,ditrans
BDA39752.1,50S ribosomal protein L34 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39751.1,ribonuclease P protein component [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39750.1,membrane protein insertase YidC [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39749.1,hypothetical protein CPARK_000058900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39748.1,hypothetical protein CPARK_000058800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39747.1,hypothetical protein CPARK_000058700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39746.1,ferredoxin-thioredoxin reductase
BDA39745.1,1-deoxy-D-xylulose-5-phosphate synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39744.1,DNA-binding protein HU [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39743.1,threonine-phosphate decarboxylase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39742.1,hypothetical protein CPARK_000058200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39741.1,hypothetical protein CPARK_000058100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39740.1,50S ribosomal protein L28 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39739.1,peroxiredoxin [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39738.1,DNA gyrase subunit A [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39737.1,formamidopyrimidine-DNA glycosylase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39736.1,photosystem I reaction center subunit IV [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39735.1,hypothetical protein CPARK_000057500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39734.1,ATP-dependent Clp protease adapter protein ClpS [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39733.1,hypothetical protein CPARK_000057300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39732.1,phycocyanobilin:ferredoxin oxidoreductase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39731.1,daunorubicin/doxorubicin resistance ATP-binding protein DrrA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39730.1,hypothetical protein CPARK_000057000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39729.1,hypothetical protein CPARK_000056900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39728.1,phage shock protein A [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39727.1,GMP synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39726.1,putative tRNA-dihydrouridine synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39725.1,ribosomal RNA small subunit methyltransferase I [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39724.1,hypothetical protein CPARK_000056400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39723.1,metalloprotease TldD [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39722.1,hypothetical protein CPARK_000056200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39721.1,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39720.1,putative membrane protein insertion efficiency factor [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39719.1,putative non-heme bromoperoxidase BpoC [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39718.1,signal recognition particle protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39717.1,hypothetical protein CPARK_000055700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39716.1,glycine--tRNA ligase alpha subunit [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39715.1,hypothetical protein CPARK_000055500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39714.1,modification methylase BspRI [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39713.1,riboflavin synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39712.1,hypothetical protein CPARK_000055200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39711.1,hypothetical protein CPARK_000055100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39710.1,DNA polymerase I [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39709.1,tRNA-specific adenosine deaminase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39708.1,ATP synthase subunit beta [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39707.1,ATP synthase epsilon chain [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39706.1,hypothetical protein CPARK_000054600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39705.1,hypothetical protein CPARK_000054500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39704.1,50S ribosomal protein L25 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39703.1,photosystem I reaction center subunit II [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39702.1,NAD kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39701.1,hypothetical protein CPARK_000054100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39700.1,hypothetical protein CPARK_000054000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39699.1,hypothetical protein CPARK_000053900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39698.1,photosystem I iron-sulfur center [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39697.1,alginate biosynthesis protein AlgA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39696.1,DNA-directed RNA polymerase subunit omega [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39695.1,protein translocase subunit SecE [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39694.1,transcription termination/antitermination protein NusG [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39693.1,50S ribosomal protein L11 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39692.1,50S ribosomal protein L1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39691.1,50S ribosomal protein L10 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39690.1,50S ribosomal protein L7/L12 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39689.1,cytochrome c biogenesis protein CcsB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39688.1,thiol:disulfide interchange protein DsbD [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39687.1,folylpolyglutamate synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39686.1,hypothetical protein CPARK_000052600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39685.1,O-acetylserine sulfhydrylase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39684.1,GDP-perosamine synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39683.1,hypothetical protein CPARK_000052300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39682.1,hypothetical protein CPARK_000052200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39681.1,prolipoprotein diacylglyceryl transferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39680.1,delta-aminolevulinic acid dehydratase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39679.1,GTP-binding protein TypA/BipA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39678.1,plastocyanin [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39677.1,glutamate 5-kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39676.1,glucokinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39675.1,high-affinity Na(+)/H(+) antiporter NhaS3 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39674.1,glutamate racemase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39673.1,heptaprenyl diphosphate synthase component 2 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39672.1,DNA polymerase III subunit alpha [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39671.1,penicillin-binding protein 1A [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39670.1,hypothetical protein CPARK_000050900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39669.1,undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39668.1,hypothetical protein CPARK_000050700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39667.1,tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39666.1,2-methyl-6-phytyl-1
BDA39665.1,hypothetical protein CPARK_000050400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39664.1,hypothetical protein CPARK_000050300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39663.1,UTP--glucose-1-phosphate uridylyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39662.1,hypothetical protein CPARK_000050100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39661.1,hypothetical protein CPARK_000050000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39660.1,hypothetical protein CPARK_000049900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39659.1,transaldolase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39658.1,thiamine-phosphate synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39657.1,hypothetical protein CPARK_000049600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39656.1,ribosome-binding factor A [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39655.1,beta-hexosaminidase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39654.1,glucokinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39653.1,hypothetical protein CPARK_000049200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39652.1,hypothetical protein CPARK_000049100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39651.1,lactose transport system permease protein LacF [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39650.1,dephospho-CoA kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39649.1,hypothetical protein CPARK_000048800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39648.1,hypothetical protein CPARK_000048700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39647.1,hypothetical protein CPARK_000048600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39646.1,long-chain-fatty-acid--CoA ligase FadD15 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39645.1,hypothetical protein CPARK_000048400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39644.1,hypothetical protein CPARK_000048300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39643.1,spermidine/putrescine import ATP-binding protein PotA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39642.1,hypothetical protein CPARK_000048100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39641.1,hypothetical protein CPARK_000048000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39640.1,ribulose-phosphate 3-epimerase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39639.1,hypothetical protein CPARK_000047800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39638.1,hypothetical protein CPARK_000047700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39637.1,carbamoyl-phosphate synthase small chain [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39636.1,hypothetical protein CPARK_000047500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39635.1,DNA replication and repair protein RecF [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39634.1,hypothetical protein CPARK_000047300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39633.1,hypothetical protein CPARK_000047200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39632.1,hypothetical protein CPARK_000047100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39631.1,uroporphyrinogen-III C-methyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39630.1,DNA gyrase subunit B [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39629.1,3-octaprenyl-4-hydroxybenzoate carboxy-lyase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39628.1,monoglucosyldiacylglycerol epimerase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39627.1,dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39626.1,3'
BDA39625.1,methionine aminopeptidase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39624.1,hypothetical protein CPARK_000046300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39623.1,uridylate kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39622.1,ribosome-recycling factor [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39621.1,undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39620.1,4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39619.1,DNA-binding protein HU [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39618.1,hypothetical protein CPARK_000045700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39617.1,hypothetical protein CPARK_000045600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39616.1,hypothetical protein CPARK_000045500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39615.1,glycine--tRNA ligase beta subunit [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39614.1,hypothetical protein CPARK_000045300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39613.1,putative ribosome biogenesis GTPase RsgA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39612.1,hypothetical protein CPARK_000045100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39611.1,chaperone protein DnaJ [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39610.1,hypothetical protein CPARK_000044900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39609.1,hypothetical protein CPARK_000044800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39608.1,hypothetical protein CPARK_000044700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39607.1,6
BDA39606.1,hypothetical protein CPARK_000044500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39605.1,hypothetical protein CPARK_000044400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39604.1,riboflavin biosynthesis protein RibBA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39603.1,hypothetical protein CPARK_000044200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39602.1,cobalt-precorrin-5B C(1)-methyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39601.1,NAD(P)H-quinone oxidoreductase chain 4 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39600.1,NAD(P)H-quinone oxidoreductase chain 4 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39599.1,aspartate aminotransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39598.1,hypothetical protein CPARK_000043700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39597.1,dihydroorotase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39596.1,thioredoxin [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39595.1,hypothetical protein CPARK_000043400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39594.1,ATP-dependent DNA helicase PcrA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39593.1,UDP-2
BDA39592.1,hypothetical protein CPARK_000043100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39591.1,hypothetical protein CPARK_000043000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39590.1,hypothetical protein CPARK_000042900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39589.1,ATP synthase subunit a [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39588.1,ATP synthase subunit c [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39587.1,ATP synthase subunit b' [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39586.1,ATP synthase subunit b [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39585.1,ATP synthase subunit delta [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39584.1,ATP synthase subunit alpha [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39583.1,ATP synthase gamma chain [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39582.1,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39581.1,beta sliding clamp [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39580.1,16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39579.1,phospho-N-acetylmuramoyl-pentapeptide-transferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39578.1,hypothetical protein CPARK_000041700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39577.1,energy-coupling factor transporter ATP-binding protein EcfA2 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39576.1,hypothetical protein CPARK_000041500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39575.1,acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39574.1,lipid-A-disaccharide synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39573.1,GTPase Era [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39572.1,hypothetical protein CPARK_000041100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39571.1,hypothetical protein CPARK_000041000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39570.1,hypothetical protein CPARK_000040900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39569.1,cysteine desulfuration protein SufE [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39568.1,hydrogenase maturation factor HypD [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39567.1,malonyl CoA-acyl carrier protein transacylase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39566.1,3-oxoacyl-[acyl-carrier-protein] synthase 3 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39565.1,phosphate acyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39564.1,hypothetical protein CPARK_000040300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39563.1,ribosome-binding ATPase YchF [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39562.1,hypothetical protein CPARK_000040100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39561.1,all-trans-phytoene synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39560.1,hypothetical protein CPARK_000039900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39559.1,15-cis-phytoene desaturase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39558.1,hypothetical protein CPARK_000039700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39557.1,putative ribonucleotide transport ATP-binding protein mkl [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39556.1,hypothetical protein CPARK_000039500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39555.1,hypothetical protein CPARK_000039400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39554.1,C4-dicarboxylate TRAP transporter large permease protein DctM [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
